,s,l,signal,gold,silver,assets
3742,8,15,20,30,30,108464.20049282933
3743,8,15,21,29,29,110652.03636429377
3744,8,15,22,25,25,99195.63888156002
3745,8,15,23,24,24,100804.37711796969
3746,8,15,24,24,24,93683.01460690354
3747,8,15,25,23,23,97012.38962851134
3748,8,15,26,24,24,95537.42326276966
3749,8,15,27,26,26,87764.20105225408
3750,8,15,28,25,25,91685.95821924282
3751,8,15,29,25,25,87745.12529214595
3752,8,15,30,25,25,89353.11530898472
3753,8,15,31,25,25,88992.27557202119
3754,8,15,32,23,23,98309.59234626277
3755,8,15,33,22,22,101274.33759482075
3756,8,15,34,22,22,101331.8371908362
3757,8,15,35,22,22,101456.69655933067
3758,8,15,36,22,22,87295.87128159522
3759,8,15,37,22,22,88119.10754659605
3760,8,15,38,22,22,87652.74789752328
3761,8,15,39,22,22,86992.20386716981
3762,9,15,2,53,53,157897.5776080504
3763,9,15,3,45,45,144137.53939428515
3764,9,15,4,42,42,136694.54763040695
3765,9,15,5,42,42,115215.26487871897
3766,9,15,6,38,38,125648.42010409335
3767,9,15,7,37,37,112397.4086217034
3768,9,15,8,35,35,128910.32245946469
3769,9,15,9,35,35,115515.89406179683
3770,9,15,10,35,35,90048.10305287104
3771,9,15,11,35,35,91375.74823526508
3772,9,15,12,34,34,92124.21483273724
3773,9,15,13,32,32,113418.34492953708
3774,9,15,14,32,32,120553.64235954915
3775,9,15,15,32,32,118318.99652731755
3776,9,15,16,32,32,100303.93778725664
3777,9,15,17,31,31,107348.88221929657
3778,9,15,18,30,30,103185.73198799141
3779,9,15,19,28,28,93234.71583800783
3780,9,15,20,24,24,98694.70061878122
3781,9,15,21,24,24,98533.4394223715
3782,9,15,22,24,24,93460.1154104235
3783,9,15,23,23,23,97077.17774269331
3784,9,15,24,22,22,103094.81126211378
3785,9,15,25,23,23,100970.73711896979
3786,9,15,26,25,25,92358.04718405969
3787,9,15,27,25,25,89614.25332474927
3788,9,15,28,25,25,87741.00382402443
3789,9,15,29,24,24,92611.04071973044
3790,9,15,30,22,22,99374.52391640299
3791,9,15,31,22,22,98790.78797066295
3792,9,15,32,22,22,98802.63437642365
3793,9,15,33,22,22,99893.43481543033
3794,9,15,34,22,22,90447.42595662418
3795,9,15,35,22,22,86158.83054671166
3796,9,15,36,22,22,87790.37627259768
3797,9,15,37,22,22,86878.73171336572
3798,9,15,38,23,23,82549.77612927814
3799,9,15,39,23,23,82549.55187090083
3800,10,15,2,54,54,146137.88383510598
3801,10,15,3,45,45,138935.57134775093
3802,10,15,4,44,44,117973.69535330431
3803,10,15,5,40,40,117025.25740634679
3804,10,15,6,38,38,116790.25879444066
3805,10,15,7,37,37,114403.24006579485
3806,10,15,8,35,35,114967.01175002292
3807,10,15,9,35,35,90048.10305287104
3808,10,15,10,35,35,93255.76158997742
3809,10,15,11,33,33,96658.07334084943
3810,10,15,12,31,31,106942.35809188563
3811,10,15,13,32,32,120387.12747816552
3812,10,15,14,31,31,122058.19105050554
3813,10,15,15,33,33,97993.5632750448
3814,10,15,16,31,31,103767.93785743522
3815,10,15,17,29,29,87488.09265520664
3816,10,15,18,24,24,101312.84492306953
3817,10,15,19,24,24,98533.4394223715
3818,10,15,20,24,24,96964.81406465457
3819,10,15,21,22,22,100659.43223022563
3820,10,15,22,22,22,99844.71542214954
3821,10,15,23,22,22,101443.7906504059
3822,10,15,24,25,25,91787.3856827894
3823,10,15,25,25,25,92275.78366771094
3824,10,15,26,25,25,90049.25600938371
3825,10,15,27,23,23,94402.14968705775
3826,10,15,28,22,22,99129.93475056393
3827,10,15,29,22,22,98625.84020221826
3828,10,15,30,22,22,100171.05430508312
3829,10,15,31,22,22,97496.5626357983
3830,10,15,32,22,22,90915.0741234281
3831,10,15,33,22,22,91889.14950318907
3832,10,15,34,22,22,91888.51275131453
3833,10,15,35,22,22,91555.57619575752
3834,10,15,36,22,22,89063.84022450923
3835,10,15,37,21,21,92634.31699829275
3836,10,15,38,21,21,92314.54063986495
3837,10,15,39,21,21,93269.66423087113
3838,11,15,2,49,49,131222.05223322767
3839,11,15,3,46,46,118664.33682269159
3840,11,15,4,43,43,120807.59758056204
3841,11,15,5,39,39,122919.90917759738
3842,11,15,6,39,39,111020.43871065172
3843,11,15,7,36,36,115129.77787152624
3844,11,15,8,36,36,104302.40546961773
